threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 1; it = 100; time = 13.630734; true time = 13.630734; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 2; it = 100; time = 13.115178; true time = 13.115178; total count = 1599600000; true count = 1599600000; count 1 = 300000, count 2 = 1599000000, count 3 = 300000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 3; it = 102; time = 13.197335; true time = 12.938564; total count = 1631592000; true count = 1599600000; count 1 = 612000, count 2 = 1630368000, count 3 = 612000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 4; it = 100; time = 16.183875; true time = 16.183875; total count = 1599600000; true count = 1599600000; count 1 = 900000, count 2 = 1597800000, count 3 = 900000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 5; it = 100; time = 15.674346; true time = 15.674346; total count = 1599600000; true count = 1599600000; count 1 = 1200000, count 2 = 1597200000, count 3 = 1200000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 6; it = 102; time = 18.489974; true time = 18.127425; total count = 1631592000; true count = 1599600000; count 1 = 1530000, count 2 = 1628532000, count 3 = 1530000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 7; it = 105; time = 18.190784; true time = 17.324556; total count = 1679580000; true count = 1599600000; count 1 = 1890000, count 2 = 1675800000, count 3 = 1890000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 8; it = 104; time = 17.433930; true time = 16.763394; total count = 1663584000; true count = 1599600000; count 1 = 2184000, count 2 = 1659216000, count 3 = 2184000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 9; it = 108; time = 17.196167; true time = 15.922377; total count = 1727568000; true count = 1599600000; count 1 = 2592000, count 2 = 1722384000, count 3 = 2592000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 10; it = 100; time = 16.955161; true time = 16.955161; total count = 1599600000; true count = 1599600000; count 1 = 2700000, count 2 = 1594200000, count 3 = 2700000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 11; it = 110; time = 18.196677; true time = 16.542433; total count = 1759560000; true count = 1599600000; count 1 = 3300000, count 2 = 1752960000, count 3 = 3300000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 12; it = 108; time = 18.585270; true time = 17.208584; total count = 1727568000; true count = 1599600000; count 1 = 3564000, count 2 = 1720440000, count 3 = 3564000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 13; it = 104; time = 17.612775; true time = 16.935361; total count = 1663584000; true count = 1599600000; count 1 = 3744000, count 2 = 1656096000, count 3 = 3744000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 14; it = 112; time = 19.087674; true time = 17.042566; total count = 1791552000; true count = 1599600000; count 1 = 4368000, count 2 = 1782816000, count 3 = 4368000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 15; it = 105; time = 16.280518; true time = 15.505255; total count = 1679580000; true count = 1599600000; count 1 = 4410000, count 2 = 1670760000, count 3 = 4410000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 16; it = 112; time = 17.696813; true time = 15.800726; total count = 1791552000; true count = 1599600000; count 1 = 5040000, count 2 = 1781472000, count 3 = 5040000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 17; it = 102; time = 17.715610; true time = 17.368245; total count = 1631592000; true count = 1599600000; count 1 = 4896000, count 2 = 1621800000, count 3 = 4896000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 18; it = 108; time = 18.799834; true time = 17.407253; total count = 1727568000; true count = 1599600000; count 1 = 5508000, count 2 = 1716552000, count 3 = 5508000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 19; it = 114; time = 20.038340; true time = 17.577491; total count = 1823544000; true count = 1599600000; count 1 = 6156000, count 2 = 1811232000, count 3 = 6156000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 20; it = 100; time = 16.994194; true time = 16.994194; total count = 1599600000; true count = 1599600000; count 1 = 5700000, count 2 = 1588200000, count 3 = 5700000

threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 1; it = 100; time = 17.985903; true time = 17.985903; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 2; it = 100; time = 17.536319; true time = 17.536319; total count = 1599600000; true count = 1599600000; count 1 = 300000, count 2 = 1599000000, count 3 = 300000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 3; it = 102; time = 17.007926; true time = 16.674437; total count = 1631592000; true count = 1599600000; count 1 = 612000, count 2 = 1630368000, count 3 = 612000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 4; it = 100; time = 16.615550; true time = 16.615550; total count = 1599600000; true count = 1599600000; count 1 = 900000, count 2 = 1597800000, count 3 = 900000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 5; it = 100; time = 17.714416; true time = 17.714416; total count = 1599600000; true count = 1599600000; count 1 = 1200000, count 2 = 1597200000, count 3 = 1200000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 6; it = 102; time = 16.810262; true time = 16.480649; total count = 1631592000; true count = 1599600000; count 1 = 1530000, count 2 = 1628532000, count 3 = 1530000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 7; it = 105; time = 17.871813; true time = 17.020774; total count = 1679580000; true count = 1599600000; count 1 = 1890000, count 2 = 1675800000, count 3 = 1890000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 8; it = 104; time = 16.442937; true time = 15.810516; total count = 1663584000; true count = 1599600000; count 1 = 2184000, count 2 = 1659216000, count 3 = 2184000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 9; it = 108; time = 17.343635; true time = 16.058921; total count = 1727568000; true count = 1599600000; count 1 = 2592000, count 2 = 1722384000, count 3 = 2592000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 10; it = 100; time = 17.300965; true time = 17.300965; total count = 1599600000; true count = 1599600000; count 1 = 2700000, count 2 = 1594200000, count 3 = 2700000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 11; it = 110; time = 16.124918; true time = 14.659016; total count = 1759560000; true count = 1599600000; count 1 = 3300000, count 2 = 1752960000, count 3 = 3300000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 12; it = 108; time = 19.100007; true time = 17.685192; total count = 1727568000; true count = 1599600000; count 1 = 3564000, count 2 = 1720440000, count 3 = 3564000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 13; it = 104; time = 18.967763; true time = 18.238233; total count = 1663584000; true count = 1599600000; count 1 = 3744000, count 2 = 1656096000, count 3 = 3744000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 14; it = 112; time = 17.108460; true time = 15.275411; total count = 1791552000; true count = 1599600000; count 1 = 4368000, count 2 = 1782816000, count 3 = 4368000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 15; it = 105; time = 18.927639; true time = 18.026323; total count = 1679580000; true count = 1599600000; count 1 = 4410000, count 2 = 1670760000, count 3 = 4410000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 16; it = 112; time = 19.042112; true time = 17.001886; total count = 1791552000; true count = 1599600000; count 1 = 5040000, count 2 = 1781472000, count 3 = 5040000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 17; it = 102; time = 17.548191; true time = 17.204109; total count = 1631592000; true count = 1599600000; count 1 = 4896000, count 2 = 1621800000, count 3 = 4896000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 18; it = 108; time = 19.829328; true time = 18.360489; total count = 1727568000; true count = 1599600000; count 1 = 5508000, count 2 = 1716552000, count 3 = 5508000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 19; it = 114; time = 18.616762; true time = 16.330493; total count = 1823544000; true count = 1599600000; count 1 = 6156000, count 2 = 1811232000, count 3 = 6156000
threads = 2; Nx = 8000, Ny = 8000, Nt = 100, r = 20; it = 100; time = 17.015465; true time = 17.015465; total count = 1599600000; true count = 1599600000; count 1 = 5700000, count 2 = 1588200000, count 3 = 5700000

=======================================

threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 1; it = 100; time = 60.529061; true time = 60.529061; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 2; it = 100; time = 60.365753; true time = 60.365753; total count = 1599600000; true count = 1599600000; count 1 = 700000, count 2 = 1598200000, count 3 = 700000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 3; it = 102; time = 61.973710; true time = 60.758539; total count = 1631592000; true count = 1599600000; count 1 = 1428000, count 2 = 1628736000, count 3 = 1428000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 4; it = 100; time = 60.202277; true time = 60.202277; total count = 1599600000; true count = 1599600000; count 1 = 2100000, count 2 = 1595400000, count 3 = 2100000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 5; it = 100; time = 60.526152; true time = 60.526152; total count = 1599600000; true count = 1599600000; count 1 = 2800000, count 2 = 1594000000, count 3 = 2800000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 6; it = 102; time = 61.535826; true time = 60.329241; total count = 1631592000; true count = 1599600000; count 1 = 3570000, count 2 = 1624452000, count 3 = 3570000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 7; it = 105; time = 63.496537; true time = 60.472892; total count = 1679580000; true count = 1599600000; count 1 = 4410000, count 2 = 1670760000, count 3 = 4410000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 8; it = 104; time = 63.386437; true time = 60.948498; total count = 1663584000; true count = 1599600000; count 1 = 5096000, count 2 = 1653392000, count 3 = 5096000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 9; it = 108; time = 65.222643; true time = 60.391337; total count = 1727568000; true count = 1599600000; count 1 = 6048000, count 2 = 1715472000, count 3 = 6048000
